GEOID,Geographic Area Name (Grouping),Population
23001,"Androscoggin County, Maine","108,277"
23003,"Aroostook County, Maine","67,055"
23005,"Cumberland County, Maine","295,003"
23007,"Franklin County, Maine","30,199"
23009,"Hancock County, Maine","54,987"
23011,"Kennebec County, Maine","122,302"
23013,"Knox County, Maine","39,772"
23015,"Lincoln County, Maine","34,634"
23017,"Oxford County, Maine","57,975"
23019,"Penobscot County, Maine","152,148"
23021,"Piscataquis County, Maine","16,785"
23023,"Sagadahoc County, Maine","35,856"
23025,"Somerset County, Maine","50,484"
23027,"Waldo County, Maine","39,715"
23029,"Washington County, Maine","31,379"
23031,"York County, Maine","207,641"